,Id,Loc,Ref,DeliveryDate,Quantity,Received,NetAmount,Supplier,PONumber,Date,Currency,SupplyDelay
0,15641711/Los Angeles,Los Angeles,15641711,2016-06-22,50,50,164.9999975,FHL,PO-200193,2016-04-20,USD,63 days 00:00:00.000000000
1,15641711/Los Angeles,Los Angeles,15641711,2016-07-29,47,47,155.0999977,FHL,PO-200243,2016-07-26,USD,3 days 00:00:00.000000000
2,16075571/Los Angeles,Los Angeles,16075571,2016-06-22,100,100,300.0,Logipro,PO-200193,2016-04-20,GBP,63 days 00:00:00.000000000
3,16075571/Los Angeles,Los Angeles,16075571,2016-07-29,300,300,900.0,Logipro,PO-200243,2016-07-26,GBP,3 days 00:00:00.000000000
4,16075571/Los Angeles,Los Angeles,16075571,2001-01-01,121,0,363.0,Logipro,PO-200271,2016-08-24,GBP,5714 days 00:00:00.000000000
5,14759689/Los Angeles,Los Angeles,14759689,2001-01-01,103,0,336.8099979,Drecom,PO-200271,2016-08-24,GBP,5714 days 00:00:00.000000000
6,14095459/Los Angeles,Los Angeles,14095459,2001-01-01,100,0,4654.99992,Drecom,PO-200225,2016-08-06,USD,5696 days 00:00:00.000000000
7,15586718/Los Angeles,Los Angeles,15586718,2001-01-01,200,0,11400.0,Drecom,PO-200225,2016-08-06,GBP,5696 days 00:00:00.000000000
8,10095232/Los Angeles,Los Angeles,10095232,2015-05-08,150,150,4002.0000450000002,Office First,102196,2015-05-27,EUR,19 days 00:00:00.000000000
9,10095232/Los Angeles,Los Angeles,10095232,2016-06-21,100,100,2668.00003,Office First,PO-200069,2015-11-25,EUR,209 days 00:00:00.000000000
10,10095232/Los Angeles,Los Angeles,10095232,2016-06-20,100,100,2668.00003,Office First,PO-200081,2015-10-12,EUR,252 days 00:00:00.000000000
11,11481389/Los Angeles,Los Angeles,11481389,2001-01-01,2,0,26.479999600000003,SuperSupply,PO-200257,2016-04-08,GBP,5576 days 00:00:00.000000000
12,15431986/Los Angeles,Los Angeles,15431986,2016-06-21,24,24,291.1200024,Logipro,PO-200069,2015-11-25,GBP,209 days 00:00:00.000000000
13,15431986/Los Angeles,Los Angeles,15431986,2001-01-01,6,0,72.7800006,Logipro,PO-200271,2016-08-24,GBP,5714 days 00:00:00.000000000
14,12768029/Los Angeles,Los Angeles,12768029,2016-06-14,12,12,218.4000096,FHL,PO-200099,2016-07-01,USD,17 days 00:00:00.000000000
15,12768029/Los Angeles,Los Angeles,12768029,2001-01-01,2,0,36.4000016,FHL,PO-200257,2016-04-08,USD,5576 days 00:00:00.000000000
16,15343952/Los Angeles,Los Angeles,15343952,2001-01-01,120,0,2743.200072,Logipro,PO-EE-BO-Atlanta,2015-10-30,GBP,5415 days 00:00:00.000000000
17,15343952/Los Angeles,Los Angeles,15343952,2016-04-10,40,0,914.400024,Logipro,PO-200244,2016-07-26,GBP,107 days 00:00:00.000000000
18,14693335/Los Angeles,Los Angeles,14693335,2016-04-10,32,0,1126.719971,Drecom,PO-200244,2016-07-26,USD,107 days 00:00:00.000000000
19,11711636/Los Angeles,Los Angeles,11711636,2001-01-01,40,0,996.399992,RRD,PO-EE-BO-Atlanta,2015-10-30,USD,5415 days 00:00:00.000000000
20,11711636/Los Angeles,Los Angeles,11711636,2016-06-21,16,16,398.5599968,RRD,PO-200069,2015-11-25,USD,209 days 00:00:00.000000000
21,11711636/Los Angeles,Los Angeles,11711636,2001-01-01,20,0,498.199996,RRD,PO-200267,2016-08-18,USD,5708 days 00:00:00.000000000
22,11941800/Los Angeles,Los Angeles,11941800,2001-01-01,40,0,996.399992,Drecom,PO-EE-BO-Atlanta,2015-10-30,GBP,5415 days 00:00:00.000000000
23,11941800/Los Angeles,Los Angeles,11941800,2016-06-21,16,16,398.5599968,Drecom,PO-200069,2015-11-25,GBP,209 days 00:00:00.000000000
24,11941800/Los Angeles,Los Angeles,11941800,2001-01-01,20,0,498.199996,Drecom,PO-200267,2016-08-18,GBP,5708 days 00:00:00.000000000
25,11711100/Los Angeles,Los Angeles,11711100,2001-01-01,24,0,335.28000719999994,Office First,PO-200277,2016-08-31,USD,5721 days 00:00:00.000000000
26,10595489/Los Angeles,Los Angeles,10595489,2015-05-08,18,18,681.1200036,SuperSupply,102196,2015-05-27,EUR,19 days 00:00:00.000000000
27,10595489/Los Angeles,Los Angeles,10595489,2016-06-21,12,12,454.0800024,SuperSupply,PO-200069,2015-11-25,EUR,209 days 00:00:00.000000000
28,10595489/Los Angeles,Los Angeles,10595489,2016-12-09,20,0,756.8000040000001,SuperSupply,PO-200236,2016-07-13,EUR,149 days 00:00:00.000000000
29,10678449/Los Angeles,Los Angeles,10678449,2016-04-10,20,0,661.200028,SuperSupply,PO-200244,2016-07-26,USD,107 days 00:00:00.000000000
