,Id,Loc,Ref,DeliveryDate,Quantity,Received,NetAmount,Supplier,PONumber,Date,Currency,LeadTime,AvgLT,sigmaLT,DailyUsage,Demand,Davg,sigmaD,Reorder Point
0,15641711/Los Angeles,Los Angeles,15641711,2016-06-22,50,50,164.9999975,FHL,PO-200193,2016-04-20,USD,63,2277,2947,2,126,4554.4,5894,36798
1,15641711/Los Angeles,Los Angeles,15641711,2016-07-29,47,47,155.0999977,FHL,PO-200243,2016-07-26,USD,3,2277,2947,2,6,4554.4,5894,36678
2,15641711/New-York,New-York,15641711,2016-12-04,800,800,2639.99996,FHL,PO-200121,2016-01-25,USD,314,2277,2947,2,628,4554.4,5894,37300
3,15641711/New-York,New-York,15641711,2001-01-01,100,0,329.999995,FHL,PO-200123,2016-01-26,USD,5503,2277,2947,2,11006,4554.4,5894,47678
4,15641711/Chicago,Chicago,15641711,2001-01-01,100,0,329.999995,FHL,PO-200122,2016-01-26,USD,5503,2277,2947,2,11006,4554.4,5894,47678
5,16075571/Los Angeles,Los Angeles,16075571,2016-06-22,100,100,300.0,Logipro,PO-200193,2016-04-20,GBP,63,886,2129,2,126,1772.857142857143,4259,15104
6,16075571/Los Angeles,Los Angeles,16075571,2016-07-29,300,300,900.0,Logipro,PO-200243,2016-07-26,GBP,3,886,2129,2,6,1772.857142857143,4259,14984
7,16075571/Los Angeles,Los Angeles,16075571,2001-01-01,121,0,363.0,Logipro,PO-200271,2016-08-24,GBP,5714,886,2129,2,11428,1772.857142857143,4259,26406
8,16075571/New-York,New-York,16075571,2016-06-22,200,200,600.0,Logipro,PO-200131,2016-09-02,GBP,72,886,2129,2,144,1772.857142857143,4259,15122
9,16075571/New-York,New-York,16075571,2016-01-08,2400,2300,7200.0,Logipro,PO-200240,2016-07-19,GBP,193,886,2129,2,386,1772.857142857143,4259,15364
10,16075571/New-York,New-York,16075571,2016-05-08,2100,2100,6300.0,Logipro,PO-200246,2016-07-28,GBP,81,886,2129,2,162,1772.857142857143,4259,15140
11,16075571/Chicago,Chicago,16075571,2016-03-22,100,100,300.0,Logipro,PO-200148,2016-01-03,GBP,79,886,2129,2,158,1772.857142857143,4259,15136
12,14759689/Los Angeles,Los Angeles,14759689,2001-01-01,103,0,336.8099979,Drecom,PO-200271,2016-08-24,GBP,5714,2047,3176,2,11428,4094.666666666666,6353,53051
13,14759689/New-York,New-York,14759689,2016-08-02,4000,4000,13079.99992,Drecom,PO-200101,2016-12-01,GBP,121,2047,3176,2,242,4094.666666666666,6353,41865
14,14759689/Chicago,Chicago,14759689,2016-01-29,1000,1000,3269.99998,Drecom,PO-200103,2016-12-01,GBP,307,2047,3176,2,614,4094.666666666666,6353,42237
15,14095459/Los Angeles,Los Angeles,14095459,2001-01-01,100,0,4654.99992,Drecom,PO-200225,2016-08-06,USD,5696,996,2302,2,11392,1993.333333333333,4605,53950
16,14095459/New-York,New-York,14095459,2015-10-28,3,3,139.6499976,Drecom,PO-200031,2015-10-13,USD,15,996,2302,2,30,1993.333333333333,4605,42588
17,14095459/New-York,New-York,14095459,2016-01-18,200,200,9309.99984,Drecom,PO-200088,2015-12-17,USD,32,996,2302,2,64,1993.333333333333,4605,42622
18,14095459/New-York,New-York,14095459,2016-08-29,100,100,4654.99992,Drecom,PO-200178,2016-04-04,USD,147,996,2302,2,294,1993.333333333333,4605,42852
19,14095459/Chicago,Chicago,14095459,2016-04-05,50,50,2327.49996,Drecom,PO-200147,2016-02-26,USD,39,996,2302,2,78,1993.333333333333,4605,42636
20,14095459/Chicago,Chicago,14095459,2016-05-08,50,50,2327.49996,Drecom,PO-200165,2016-03-18,USD,51,996,2302,2,102,1993.333333333333,4605,42660
21,15586718/Los Angeles,Los Angeles,15586718,2001-01-01,200,0,11400.0,Drecom,PO-200225,2016-08-06,GBP,5696,2904,3005,2,11392,5809.0,6010,50827
22,15586718/New-York,New-York,15586718,2016-01-18,14,14,798.0,Drecom,PO-200088,2015-12-17,GBP,32,2904,3005,2,64,5809.0,6010,39499
23,15586718/New-York,New-York,15586718,2016-01-04,110,110,6270.0,Drecom,PO-200118,2016-01-21,GBP,17,2904,3005,2,34,5809.0,6010,39469
24,15586718/New-York,New-York,15586718,2016-07-25,200,200,11400.0,Drecom,PO-200164,2016-03-18,GBP,129,2904,3005,2,258,5809.0,6010,39693
25,15586718/New-York,New-York,15586718,2001-01-01,200,0,11400.0,Drecom,PO-200284,2016-09-20,GBP,5741,2904,3005,2,11482,5809.0,6010,50917
26,15586718/New-York,New-York,15586718,2001-01-01,100,0,5700.0,Drecom,PO-200301,2016-10-26,GBP,5777,2904,3005,2,11554,5809.0,6010,50989
27,15586718/Chicago,Chicago,15586718,2016-04-05,55,55,3135.0,Drecom,PO-200147,2016-02-26,GBP,39,2904,3005,2,78,5809.0,6010,39513
28,15586718/Chicago,Chicago,15586718,2016-05-08,99,99,5643.0,Drecom,PO-200165,2016-03-18,GBP,51,2904,3005,2,102,5809.0,6010,39537
29,15586718/Chicago,Chicago,15586718,2001-01-01,100,0,5700.0,Drecom,PO-200285,2016-09-20,GBP,5741,2904,3005,2,11482,5809.0,6010,50917
30,15586718/Chicago,Chicago,15586718,2001-01-01,50,0,2850.0,Drecom,PO-200294,2016-12-10,GBP,5822,2904,3005,2,11644,5809.0,6010,51079
